 market ,country_code,region,funding_rounds,founded_month,founded_quarter,founded_year,seed,venture,round_A,round_B, funding_total_usd 
 News ,USA,New York City,1,2012-06,2012-Q2,2012,1750000,0,0,0," 17,50,000 "
 Games ,USA,Los Angeles,2,,,,0,4000000,0,0," 40,00,000 "
 Publishing ,EST,Tallinn,1,2012-10,2012-Q4,2012,40000,0,0,0,"40,000"
 Electronics ,GBR,London,1,2011-04,2011-Q2,2011,1500000,0,0,0," 15,00,000 "
 Tourism ,USA,Dallas,2,2014-01,2014-Q1,2014,0,0,0,0,"60,000"
 Software ,USA,Ft. Lauderdale,1,2011-10,2011-Q4,2011,0,7000000,0,7000000," 70,00,000 "
 Advertising ,ARG,Buenos Aires,1,,,,0,0,0,0," 49,12,393 "
 Curated Web ,,,1,2007-01,2007-Q1,2007,0,2000000,2000000,0," 20,00,000 "
 Software ,USA,"Springfield, Illinois",1,2010-01,2010-Q1,2010,0,0,0,0, -   
 Games ,HKG,Hong Kong,1,,,,41250,0,0,0,"41,250"
 E-Commerce ,CHL,Santiago,1,2012-01,2012-Q1,2012,40000,0,0,0,"40,000"
 Software ,USA,NC - Other,1,,,,0,0,0,0, -   
 Health and Wellness ,USA,Los Angeles,1,1986-01,1986-Q1,1986,0,0,0,0, -   
 Health and Wellness ,USA,Newark,1,1984-01,1984-Q1,1984,0,0,0,0," 17,50,000 "
 Real Estate ,USA,Orlando,1,2013-12,2013-Q4,2013,0,0,0,0, -   
 Education ,GBR,London,2,2013-01,2013-Q1,2013,400000,4000000,4000000,0," 44,00,000 "
 E-Commerce ,USA,Baltimore,4,2001-01,2001-Q1,2001,0,0,0,0," 20,50,000 "
 Search ,USA,"Portland, Oregon",1,2008-01,2008-Q1,2008,40000,0,0,0,"40,000"
 Marketplaces ,,,1,2009-01,2009-Q1,2009,500000,0,0,0," 5,00,000 "
 Curated Web ,DEU,Berlin,1,,,,0,0,0,0, -   
 Curated Web ,USA,SF Bay Area,2,2010-07,2010-Q3,2010,15000,2520000,2520000,0," 25,35,000 "
 Curated Web ,USA,Seattle,6,2008-01,2008-Q1,2008,0,3814772,0,0," 49,62,651 "
 Restaurants ,FRA,Paris,4,2010-11,2010-Q4,2010,522169,3536910,3536910,0," 40,59,079 "
 Media ,CHN,Beijing,3,2009-01,2009-Q1,2009,0,10000000,0,10000000," 1,00,00,000 "
 Hospitality ,,,2,,,,0,3000000,3000000,0," 30,00,000 "
 Education ,CHN,Beijing,2,,,,0,4500000,0,0," 45,00,000 "
 Health Care Information Technology ,USA,Madison,1,2014-07,2014-Q3,2014,420000,0,0,0," 4,20,000 "
 Analytics ,USA,SF Bay Area,2,2011-09,2011-Q3,2011,750000,500000,0,0," 12,50,000 "
 Software ,USA,New York City,1,2000-01,2000-Q1,2000,0,35000000,0,0," 3,50,00,000 "
 Fashion ,CAN,Toronto,1,2014-08,2014-Q3,2014,0,0,0,0, -   
 Curated Web ,USA,Cleveland,1,2009-04,2009-Q2,2009,50000,0,0,0,"50,000"
 Mobile Commerce ,,,2,2013-07,2013-Q3,2013,1600000,0,0,0," 16,00,000 "
 Mobility ,AUS,Sydney,1,2009-07,2009-Q3,2009,0,0,0,0," 1,00,000 "
 Electronics ,USA,New York City,1,,,,0,0,0,0, -   
 Biotechnology ,USA,SF Bay Area,1,2012-01,2012-Q1,2012,0,0,0,0," 30,00,000 "
 Software ,USA,Boston,1,2010-01,2010-Q1,2010,0,0,0,0,"77,500"
 Education ,,,1,,,,0,0,0,0, -   
 Social Travel ,CHN,Shanghai,1,2011-10,2011-Q4,2011,0,20000000,0,20000000," 2,00,00,000 "
 Enterprise Software ,USA,Huntsville,1,,,,0,1800000,0,0," 18,00,000 "
 Personal Health ,,,1,,,,0,0,0,0, -   
 Sports ,,,1,2013-07,2013-Q3,2013,0,0,0,0, -   
 Sports ,USA,Chicago,1,2013-01,2013-Q1,2013,0,0,0,0, -   
 Real Estate ,USA,TX - Other,1,2011-04,2011-Q2,2011,0,0,0,0, -   
 Mobile ,AUS,Melbourne,2,2012-02,2012-Q1,2012,250000,0,0,0," 2,70,000 "
 Pharmaceuticals ,USA,Providence,6,2011-10,2011-Q4,2011,69000,0,0,0," 7,94,000 "
 Advertising ,,,2,2012-01,2012-Q1,2012,500000,150267,0,0," 6,50,267 "
